ID,COMMODITY,Date,Close,Open,High,Low,Volume
12403,BAL,2018-02-05,46.53,46.65,46.65,46.53,1300
12404,BAL,2018-02-06,46.58,46.58,46.58,46.58,200
12405,BAL,2018-02-09,46.55,46.55,46.55,46.55,100
12406,BAL,2018-02-20,47.46,47.74,47.84,47.45,3561
12407,BAL,2018-02-26,49.48,49.48,49.48,49.48,103
12408,BAL,2018-02-27,49.64,49.62,49.64,49.62,1700
12409,BAL,2018-02-28,49.74,49.90,49.90,49.74,425
12410,BAL,2018-03-01,49.02,49.08,49.08,49.02,785
12411,BAL,2018-03-02,49.32,49.47,49.47,49.32,463
12412,BAL,2018-03-05,50.92,50.30,51.20,50.28,624
12413,BAL,2018-03-06,49.45,51.80,51.80,49.45,1211
12414,BAL,2018-03-08,51.14,51.14,51.14,51.14,147
12415,BAL,2018-03-09,50.50,50.67,50.67,50.50,483
12416,BAL,2018-03-13,49.58,50.10,50.25,49.58,787
12417,BAL,2018-03-19,48.91,48.91,48.91,48.91,210
12418,BAL,2018-03-20,49.62,49.61,49.62,49.61,300
12419,BAL,2018-03-23,49.25,49.25,49.25,49.25,321
12420,BAL,2018-03-29,49.30,49.30,49.30,49.30,113
12421,BAL,2018-04-02,49.10,49.10,49.10,49.10,100
12422,BAL,2018-04-03,49.37,49.37,49.37,49.37,100
12423,BAL,2018-04-04,47.92,47.86,47.92,47.86,461
12424,BAL,2018-04-05,49.66,49.66,49.66,49.66,191
12425,BAL,2018-04-06,49.67,50.08,50.08,49.67,328
12426,BAL,2018-04-09,50.29,50.29,50.29,50.29,116
12427,BAL,2018-04-12,50.30,50.32,50.32,50.30,322
12428,BAL,2018-04-13,50.61,50.61,50.61,50.61,166
12429,BAL,2018-04-16,50.40,50.54,50.55,50.39,1472
12430,BAL,2018-04-17,50.20,49.93,50.24,49.80,1151
12431,BAL,2018-04-18,50.05,50.02,50.05,50.01,400
12432,BAL,2018-04-20,51.15,50.98,51.15,50.98,536
12433,BAL,2018-04-23,51.56,51.56,51.56,51.56,1508
12434,BAL,2018-04-24,49.43,50.52,50.66,49.43,2176
12435,BAL,2018-04-30,50.87,50.87,50.87,50.87,2000
12436,BAL,2018-05-02,51.12,51.40,51.47,51.12,1852
12437,BAL,2018-05-04,52.73,51.28,52.73,51.28,761
12438,BAL,2018-05-07,52.35,53.19,53.22,52.32,2512
12439,BAL,2018-05-08,51.71,52.22,52.22,51.71,979
12440,BAL,2018-05-09,51.84,51.95,51.95,51.84,429
12441,BAL,2018-05-10,51.15,51.69,51.69,51.00,739
12442,BAL,2018-05-11,50.66,51.13,51.13,50.63,4233
12443,BAL,2018-05-14,50.82,50.82,50.82,50.82,211
12444,BAL,2018-05-16,51.23,51.34,51.34,51.14,900
12445,BAL,2018-05-17,51.41,51.41,51.41,51.41,500
12446,BAL,2018-05-18,52.81,52.81,52.81,52.81,115
12447,BAL,2018-05-21,53.66,53.57,53.74,53.27,9645
12448,BAL,2018-05-22,52.61,53.35,53.35,52.61,25680
12449,BAL,2018-05-23,52.87,52.82,52.87,52.82,645
12450,BAL,2018-05-24,53.05,52.77,53.05,52.77,1204
12451,BAL,2018-05-25,54.26,53.56,54.26,53.53,4519
12452,BAL,2018-05-29,56.18,55.89,58.52,55.89,8392
12453,BAL,2018-05-30,56.32,56.09,56.32,55.95,4377
12454,BAL,2018-05-31,56.48,56.30,56.48,56.17,5700
12455,BAL,2018-06-01,56.63,56.63,56.63,56.63,267
12456,BAL,2018-06-04,56.00,56.33,56.37,55.82,2735
12457,BAL,2018-06-05,54.49,54.90,55.09,54.47,2181
12458,BAL,2018-06-06,55.15,55.27,55.28,55.14,832
12459,BAL,2018-06-07,56.92,55.30,57.56,55.27,12795
12460,BAL,2018-06-08,57.24,57.81,57.89,57.16,6638
12461,BAL,2018-06-11,57.12,57.45,57.45,56.96,9421
12462,BAL,2018-06-12,57.25,57.24,57.25,57.24,390
12463,BAL,2018-06-13,57.62,57.46,57.79,57.46,471
12464,BAL,2018-06-14,57.64,57.21,57.64,56.96,2710
12465,BAL,2018-06-15,55.56,55.87,55.87,55.38,1556
12466,BAL,2018-06-18,54.57,54.41,54.58,53.99,3338
12467,BAL,2018-06-19,51.97,52.18,52.27,51.88,10928
12468,BAL,2018-06-20,52.00,52.22,52.22,52.00,3701
12469,BAL,2018-06-21,52.10,52.31,52.56,52.10,1223
12470,BAL,2018-06-22,52.75,52.76,52.93,52.75,770
12471,BAL,2018-06-25,52.40,52.60,52.62,52.40,3014
12472,BAL,2018-06-26,52.38,52.43,52.43,52.38,340
12473,BAL,2018-06-27,52.47,52.47,52.47,52.46,777
12474,BAL,2018-06-28,51.94,51.94,51.94,51.94,310
12475,BAL,2018-06-29,52.17,51.64,52.84,51.64,3245
12476,BAL,2018-07-02,51.60,51.48,51.60,51.48,610
12477,BAL,2018-07-03,51.79,51.79,51.79,51.79,240
12478,BAL,2018-07-05,50.98,51.19,51.19,50.73,4332
12479,BAL,2018-07-06,52.33,51.26,52.33,51.23,1450
12480,BAL,2018-07-09,52.83,52.58,52.91,52.58,1900
12481,BAL,2018-07-10,53.35,53.17,53.39,53.17,487
12482,BAL,2018-07-11,52.60,52.72,52.72,52.60,440
12483,BAL,2018-07-12,54.64,53.43,54.88,53.32,10570
12484,BAL,2018-07-13,54.44,54.15,54.44,53.86,3428
12485,BAL,2018-07-16,54.41,54.30,54.41,54.24,1293
12486,BAL,2018-07-18,54.48,54.86,54.87,54.48,1681
12487,BAL,2018-07-19,54.46,54.46,54.46,54.41,2090
12488,BAL,2018-07-20,54.02,53.98,54.02,53.98,820
12489,BAL,2018-07-23,53.51,53.60,53.73,53.42,3966
12490,BAL,2018-07-24,53.47,54.09,54.13,53.47,894
12491,BAL,2018-07-25,54.60,54.91,54.91,54.60,1640
12492,BAL,2018-07-26,54.51,54.51,54.51,54.25,1171
12493,BAL,2018-07-27,54.86,54.86,54.86,54.86,12200
12494,BAL,2018-07-30,55.45,55.58,55.62,55.45,2944
12495,BAL,2018-07-31,55.43,55.49,55.49,55.43,476
12496,BAL,2018-08-01,54.89,55.56,55.56,54.89,1702
12497,BAL,2018-08-02,55.01,54.92,55.01,54.78,2971
12498,BAL,2018-08-03,54.46,54.19,54.47,53.96,1383
12499,BAL,2018-08-06,54.78,54.76,54.80,54.76,1066
12500,BAL,2018-08-07,54.44,54.69,54.70,54.44,737
12501,BAL,2018-08-08,53.93,54.20,54.20,53.90,4916
12502,BAL,2018-08-09,54.24,54.24,54.24,54.24,200
12503,BAL,2018-08-10,52.75,54.07,54.07,52.75,2876
12504,BAL,2018-08-13,51.41,52.07,52.14,50.92,6506
12505,BAL,2018-08-14,51.42,51.45,51.45,51.41,666
12506,BAL,2018-08-15,50.13,50.17,50.17,50.13,255
12507,BAL,2018-08-17,50.66,50.62,50.66,50.62,756
12508,BAL,2018-08-20,51.33,50.90,51.33,50.90,2899
12509,BAL,2018-08-21,51.64,51.64,51.64,51.64,144
12510,BAL,2018-08-22,51.09,51.09,51.09,51.09,882
12511,BAL,2018-08-23,50.68,50.68,50.68,50.68,254
12512,BAL,2018-08-24,50.77,51.42,51.42,50.77,1818
12513,BAL,2018-08-27,51.72,51.04,51.72,51.02,3140
12514,BAL,2018-08-28,52.05,52.05,52.05,52.05,278
12515,BAL,2018-08-29,51.31,51.31,51.35,51.31,900
12516,BAL,2018-08-30,51.03,51.01,51.03,51.01,719
12517,BAL,2018-08-31,51.42,51.22,51.42,51.22,334
12518,BAL,2018-09-04,51.35,50.72,51.35,50.71,1745
12519,BAL,2018-09-05,50.92,50.78,50.92,50.73,2511
12520,BAL,2018-09-06,50.37,50.63,50.63,50.36,433
12521,BAL,2018-09-07,50.90,51.47,51.72,50.90,1934
12522,BAL,2018-09-10,51.88,51.88,51.89,51.80,1344
12523,BAL,2018-09-11,51.56,51.12,51.56,51.08,1606
12524,BAL,2018-09-12,50.99,51.47,51.54,50.78,958
12525,BAL,2018-09-13,50.63,50.98,51.08,50.63,2000
12526,BAL,2018-09-14,50.77,50.72,50.77,50.71,1007
12527,BAL,2018-09-17,50.89,50.90,50.90,50.88,1715
12528,BAL,2018-09-18,48.69,49.64,49.64,48.69,3524
12529,BAL,2018-09-19,49.10,48.81,49.10,48.81,764
12530,BAL,2018-09-20,48.63,48.63,48.80,48.63,1174
12531,BAL,2018-09-21,48.87,48.87,48.87,48.87,200
12532,BAL,2018-09-24,48.86,49.00,49.03,48.86,2460
12533,BAL,2018-09-25,48.90,48.89,48.90,48.89,239
12534,BAL,2018-09-28,47.86,47.87,47.87,47.86,460
12535,BAL,2018-10-01,47.86,47.51,47.86,47.51,369
12536,BAL,2018-10-03,47.68,47.68,47.68,47.68,200
12537,BAL,2018-10-04,47.15,47.23,47.38,47.15,2402
12538,BAL,2018-10-05,47.20,47.58,47.58,47.20,675
12539,BAL,2018-10-08,48.24,48.01,48.24,47.64,2257
12540,BAL,2018-10-09,47.88,48.10,48.28,47.73,1853
12541,BAL,2018-10-10,47.91,47.77,48.28,47.77,16742
12542,BAL,2018-10-11,48.09,47.68,48.13,47.68,2114
12543,BAL,2018-10-12,48.98,48.87,49.00,48.81,9385
12544,BAL,2018-10-15,48.89,48.93,49.07,48.88,2469
12545,BAL,2018-10-16,48.85,49.08,49.08,48.80,4347
12546,BAL,2018-10-17,48.62,48.85,48.85,48.48,1353
12547,BAL,2018-10-18,48.85,48.66,48.86,48.45,5704
12548,BAL,2018-10-19,48.45,48.45,48.45,48.32,1000
12549,BAL,2018-10-22,49.93,49.19,49.99,49.19,12398
12550,BAL,2018-10-23,49.27,48.90,49.31,48.78,5573
12551,BAL,2018-10-24,48.15,49.28,49.28,48.09,2684
12552,BAL,2018-10-25,48.30,47.67,48.41,47.67,3045
12553,BAL,2018-10-26,49.14,48.35,49.14,48.35,4550
12554,BAL,2018-10-29,48.12,48.74,48.74,48.12,1580
12555,BAL,2018-10-30,47.71,48.05,48.05,47.71,2704
