ID,COMMODITY,Date,Close,Open,High,Low,Volume
5683,SOYB,2011-09-19,24.55,24.55,24.55,24.55,100
5684,SOYB,2011-09-20,25.08,24.99,25.08,24.66,1200
5685,SOYB,2011-09-21,24.34,24.96,25.11,24.34,4365
5686,SOYB,2011-09-22,24.00,24.00,24.00,24.00,100
5687,SOYB,2011-09-23,23.00,24.43,24.43,23.00,300
5688,SOYB,2011-09-26,23.46,23.32,23.46,23.26,950
5689,SOYB,2011-09-27,23.39,23.48,23.48,23.39,300
5690,SOYB,2011-09-28,22.71,23.26,23.26,22.71,2200
5691,SOYB,2011-09-29,22.91,22.83,22.91,22.83,1600
5692,SOYB,2011-09-30,22.13,22.60,22.60,22.13,600
5693,SOYB,2011-10-03,21.72,22.01,22.01,21.72,1600
5694,SOYB,2011-10-04,21.69,21.96,21.97,21.69,1900
5695,SOYB,2011-10-05,21.66,21.69,21.69,21.66,1000
5696,SOYB,2011-10-06,21.59,22.09,22.09,21.59,200
5697,SOYB,2011-10-07,21.73,21.72,21.73,21.72,1100
5698,SOYB,2011-10-10,21.92,22.18,22.18,21.92,2200
5699,SOYB,2011-10-12,22.83,22.73,22.84,22.73,2264
5700,SOYB,2011-10-13,22.95,22.95,22.95,22.95,500
5701,SOYB,2011-10-14,23.28,24.40,24.40,23.14,3800
5702,SOYB,2011-10-17,23.00,22.80,23.24,22.80,1950
5703,SOYB,2011-10-18,22.80,22.77,22.90,22.77,1700
5704,SOYB,2011-10-19,22.52,23.04,23.04,22.52,4100
5705,SOYB,2011-10-20,22.30,22.70,22.70,22.12,8568
5706,SOYB,2011-10-21,22.58,22.84,22.84,22.58,1500
5707,SOYB,2011-10-24,22.59,22.85,22.85,22.59,1600
5708,SOYB,2011-10-25,22.70,22.72,22.80,22.61,3300
5709,SOYB,2011-10-26,22.48,22.51,22.51,22.48,500
5710,SOYB,2011-10-27,23.08,22.72,23.08,22.69,1505
5711,SOYB,2011-10-28,22.61,22.99,22.99,22.61,1956
5712,SOYB,2011-10-31,22.21,22.33,22.33,22.21,600
5713,SOYB,2011-11-01,22.21,21.96,22.23,21.96,2332
5714,SOYB,2011-11-03,22.77,22.64,22.77,22.57,842
5715,SOYB,2011-11-04,22.52,22.74,22.74,22.50,998
5716,SOYB,2011-11-07,22.25,22.50,22.50,22.15,1750
5717,SOYB,2011-11-08,22.27,22.29,22.29,22.27,400
5718,SOYB,2011-11-09,21.96,22.20,22.25,21.88,2420
5719,SOYB,2011-11-10,21.59,21.74,21.74,21.59,1600
5720,SOYB,2011-11-14,21.71,21.80,21.80,21.71,1200
5721,SOYB,2011-11-15,21.93,21.93,21.93,21.93,100
5722,SOYB,2011-11-16,21.92,22.23,22.23,21.92,300
5723,SOYB,2011-11-17,21.60,21.77,21.77,21.60,925
5724,SOYB,2011-11-21,21.17,21.12,21.17,21.12,1400
5725,SOYB,2011-11-22,21.25,21.25,21.25,21.25,300
5726,SOYB,2011-11-23,20.67,20.82,20.89,20.67,500
5727,SOYB,2011-11-25,20.53,20.50,20.53,20.50,200
