ID,Commodity,Date,Open,High,Low,Close
1,C00,2012-01-03,662,664.25,653,658.5
2,C00,2012-01-03,662,664.25,653,658.5
3,C00,2012-01-04,658,661.75,653.5,658.5
4,C00,2012-01-05,658,659.75,639.5,643.5
5,C00,2012-01-06,642,649.5,640.25,643.5
6,C00,2012-01-09,643,663,642.75,652
7,C00,2012-01-10,651.5,657.5,648,652
8,C00,2012-01-11,651.5,655.5,646,651.5
9,C00,2012-01-12,651,659.5,611.5,611.5
10,C00,2012-01-13,608.5,614.75,598.5,599.5
11,C00,2012-01-17,601.25,611.75,601.25,604
12,C00,2012-01-18,605.25,606.5,592.5,593.5
13,C00,2012-01-19,594,607.5,593.75,606
14,C00,2012-01-20,606,613.75,601.25,611.5
15,C00,2012-01-23,613.5,621.25,612,620
16,C00,2012-01-24,619.5,636,614.5,630.25
17,C00,2012-01-25,629.5,638,625.5,634.5
18,C00,2012-01-26,634.25,645.75,633.25,634.5
19,C00,2012-01-27,633.5,642.25,631,641.75
20,C00,2012-01-30,639.5,642.75,627.5,631.75
21,C00,2012-01-31,632.25,642,631,639
22,C00,2012-02-01,639,650,638,642
23,C00,2012-02-02,641.75,647,634.25,643
24,C00,2012-02-03,642.5,646.5,638,644.5
25,C00,2012-02-06,641,648.5,639.25,644.25
26,C00,2012-02-07,643,645,639.25,642.25
27,C00,2012-02-08,642,648.75,632,642.5
28,C00,2012-02-09,641.75,652,632.75,637
29,C00,2012-02-10,636.5,638.75,628.25,631.75
30,C00,2012-02-13,634.5,643.5,632.75,639.5
31,C00,2012-02-14,639,640.5,631.5,633.5
32,C00,2012-02-15,633.5,638.5,625.25,627
33,C00,2012-02-16,627,637,621.75,636.25
34,C00,2012-02-17,635.5,646.75,635.25,641.75
35,C00,2012-02-21,643.25,645,625.25,629.5
36,C00,2012-02-22,630,639.5,625.75,638.25
37,C00,2012-02-23,638.25,643.5,633.25,639.5
38,C00,2012-02-24,638.5,641.5,634.5,640.75
39,C00,2012-02-27,641.25,649,636.5,648.5
40,C00,2012-02-28,646.25,657.75,646,657.25
41,C00,2012-02-29,656,661.5,653.25,658
42,C00,2012-03-01,656,658,650.5,654
43,C00,2012-03-02,653.25,655.5,647,655
44,C00,2012-03-05,654,665.25,652.25,660.75
45,C00,2012-03-06,659,659.75,649.5,654
46,C00,2012-03-07,653.5,656,637.5,638.75
47,C00,2012-03-08,638,644.75,631.75,635.5
48,C00,2012-03-09,635,652,631.75,645
49,C00,2012-03-12,644.25,661.5,641.75,659.5
50,C00,2012-03-13,657.75,666.75,656,662
51,C00,2012-03-14,660.75,665,654.25,658.75
52,C00,2012-03-15,658.75,673,658,669
53,C00,2012-03-16,668,673.75,665.75,673
54,C00,2012-03-19,673,675.75,662,663.5
55,C00,2012-03-20,663.25,663.5,643.25,647.5
56,C00,2012-03-21,647.25,651,641.5,642
57,C00,2012-03-22,643.5,647.5,636.75,644.5
58,C00,2012-03-23,645.5,652,642.25,646.5
59,C00,2012-03-26,646.25,656,637.25,637.75
60,C00,2012-03-27,638,644.5,630.5,630.75
61,C00,2012-03-28,630.5,634.75,619,620.25
62,C00,2012-03-29,620.25,623.5,603,604
63,C00,2012-03-30,605,644,604,644
64,C00,2012-04-02,649.5,659.5,646.5,655
65,C00,2012-04-03,654,666,651.75,658.25
66,C00,2012-04-04,661,663.75,650.75,656.75
67,C00,2012-04-05,657,663.25,654.75,658.25
68,C00,2012-04-09,656,664.25,648.5,649
69,C00,2012-04-10,649.5,653.75,634.5,634.75
70,C00,2012-04-11,636.5,639.75,630.75,636
