ID,COMMODITY,Date,Close,Open,High,Low,Volume
9873,CANE,2011-09-19,25.11,25.11,25.11,25.11,151
9874,CANE,2011-09-20,25.57,25.27,25.57,25.27,200
9875,CANE,2011-09-21,24.73,24.58,24.73,24.56,650
9876,CANE,2011-09-22,23.76,23.98,24.23,23.76,2300
9877,CANE,2011-09-23,23.33,23.33,23.33,23.33,193
9878,CANE,2011-09-26,23.42,23.42,23.42,23.42,1000
9879,CANE,2011-09-27,23.72,23.91,23.91,23.72,1600
9880,CANE,2011-09-28,23.50,23.78,23.78,23.50,400
9881,CANE,2011-09-29,25.16,24.29,25.16,24.29,1500
9882,CANE,2011-09-30,24.37,24.37,24.37,24.37,2000
9883,CANE,2011-10-05,23.47,23.47,23.47,23.47,100
9884,CANE,2011-10-07,24.15,24.15,24.15,24.15,100
9885,CANE,2011-10-11,24.51,24.51,24.51,24.51,200
9886,CANE,2011-10-14,26.24,25.99,26.43,25.99,425
9887,CANE,2011-10-17,26.31,26.17,26.31,26.17,200
9888,CANE,2011-10-19,25.58,26.25,26.25,25.58,400
9889,CANE,2011-10-21,25.09,25.51,25.51,25.09,400
9890,CANE,2011-10-24,25.35,25.35,25.35,25.35,200
9891,CANE,2011-10-26,25.28,25.28,25.28,25.28,200
9892,CANE,2011-10-27,25.52,25.52,25.52,25.52,100
9893,CANE,2011-10-28,25.40,25.52,25.59,25.40,1026
9894,CANE,2011-10-31,25.06,25.06,25.06,25.06,100
9895,CANE,2011-11-01,24.62,24.77,24.96,24.62,300
9896,CANE,2011-11-02,24.64,24.58,24.88,24.54,1673
9897,CANE,2011-11-08,25.16,24.81,25.16,24.81,350
9898,CANE,2011-11-09,24.70,24.70,24.70,24.70,100
9899,CANE,2011-11-10,24.69,24.78,24.78,24.69,600
9900,CANE,2011-11-14,24.06,24.29,24.29,24.06,400
9901,CANE,2011-11-16,24.05,24.04,24.05,24.04,305
9902,CANE,2011-11-18,23.67,23.67,23.67,23.67,100
9903,CANE,2011-11-21,23.88,23.88,23.88,23.88,200
9904,CANE,2011-11-25,22.86,22.86,22.86,22.86,400
9905,CANE,2011-11-29,23.21,23.00,23.21,23.00,1100
9906,CANE,2011-11-30,23.42,23.44,23.44,23.42,400
9907,CANE,2011-12-02,23.24,23.39,23.39,23.24,600
9908,CANE,2011-12-05,23.57,23.57,23.57,23.57,100
9909,CANE,2011-12-07,22.89,23.61,23.61,22.89,4093
9910,CANE,2011-12-08,23.66,23.40,23.66,23.40,600
9911,CANE,2011-12-12,23.68,22.96,23.68,22.80,1150
9912,CANE,2011-12-13,23.00,23.08,23.08,23.00,550
9913,CANE,2011-12-14,22.55,22.47,22.55,22.47,500
9914,CANE,2011-12-16,22.77,22.77,22.77,22.77,100
9915,CANE,2011-12-19,22.95,22.90,22.95,22.83,400
9916,CANE,2011-12-21,22.95,22.95,22.95,22.95,200
9917,CANE,2011-12-23,23.16,23.36,23.36,23.16,500
9918,CANE,2011-12-27,23.34,23.34,23.34,23.34,860
9919,CANE,2011-12-28,22.85,23.31,23.33,22.85,1400
9920,CANE,2011-12-29,22.98,22.98,22.98,22.98,100
9921,CANE,2011-12-30,22.93,22.93,22.93,22.93,100
9922,CANE,2012-01-03,23.81,23.68,23.81,23.68,200
9923,CANE,2012-01-04,24.33,23.93,24.33,23.93,752
9924,CANE,2012-01-05,22.84,23.50,23.52,22.60,1000
9925,CANE,2012-01-06,22.85,22.75,22.85,22.75,400
9926,CANE,2012-01-09,23.00,22.65,23.01,22.60,1400
9927,CANE,2012-01-11,23.30,23.30,23.30,23.30,200
9928,CANE,2012-01-12,23.04,23.10,23.10,23.04,200
9929,CANE,2012-01-13,22.95,22.95,22.95,22.95,900
9930,CANE,2012-01-17,23.21,23.44,23.44,23.19,800
9931,CANE,2012-01-19,23.62,23.60,23.62,23.54,1100
9932,CANE,2012-01-20,23.67,23.55,23.69,23.50,900
9933,CANE,2012-01-23,23.98,23.97,23.98,23.97,200
9934,CANE,2012-01-24,23.91,23.97,23.98,23.91,1000
9935,CANE,2012-01-25,23.80,23.80,23.81,23.75,1550
9936,CANE,2012-01-26,23.82,23.87,23.87,23.82,200
9937,CANE,2012-01-27,23.44,23.52,23.52,23.44,800
9938,CANE,2012-01-30,23.22,23.27,23.27,23.22,500
9939,CANE,2012-01-31,23.17,23.17,23.17,23.17,200
9940,CANE,2012-02-01,22.94,22.94,22.94,22.94,100
9941,CANE,2012-02-02,22.86,22.96,23.12,22.85,2700
9942,CANE,2012-02-03,23.13,23.21,23.21,23.12,1380
9943,CANE,2012-02-07,23.36,23.37,23.37,23.36,1900
9944,CANE,2012-02-08,23.45,23.45,23.45,23.45,823
9945,CANE,2012-02-10,23.50,23.50,23.50,23.50,300
9946,CANE,2012-02-14,23.02,23.00,23.02,22.91,2100
9947,CANE,2012-02-15,23.12,23.12,23.12,23.12,500
9948,CANE,2012-02-16,23.39,23.39,23.39,23.39,200
9949,CANE,2012-02-17,23.30,23.30,23.30,23.30,200
9950,CANE,2012-02-21,23.62,23.62,23.62,23.62,200
9951,CANE,2012-02-24,24.26,24.20,24.26,24.19,999
9952,CANE,2012-02-27,24.66,24.49,24.93,24.49,1650
9953,CANE,2012-02-28,24.59,24.54,24.59,24.54,1220
9954,CANE,2012-02-29,23.36,24.30,24.31,23.36,700
9955,CANE,2012-03-01,24.20,24.20,24.20,24.20,400
9956,CANE,2012-03-02,24.55,24.26,24.55,24.26,800
9957,CANE,2012-03-06,23.46,23.59,23.59,23.46,200
9958,CANE,2012-03-08,23.08,23.22,23.22,23.08,400
9959,CANE,2012-03-09,23.32,22.84,23.32,22.84,1000
9960,CANE,2012-03-12,22.69,22.69,22.69,22.69,100
9961,CANE,2012-03-13,23.27,23.05,23.27,23.05,200
9962,CANE,2012-03-20,24.16,24.16,24.16,24.16,100
9963,CANE,2012-03-26,23.62,24.14,24.14,23.29,55925
9964,CANE,2012-03-27,23.44,23.57,23.57,23.44,1500
9965,CANE,2012-03-29,23.44,23.54,23.54,23.44,2000
9966,CANE,2012-03-30,23.79,23.68,23.81,23.68,1600
9967,CANE,2012-04-03,23.54,23.55,23.57,23.51,2400
9968,CANE,2012-04-04,23.63,23.63,23.63,23.63,1000
9969,CANE,2012-04-05,23.78,23.79,23.79,23.77,2000
9970,CANE,2012-04-09,23.95,23.91,23.95,23.88,1200
9971,CANE,2012-04-12,23.46,23.46,23.46,23.46,200
9972,CANE,2012-04-13,23.02,23.02,23.02,23.02,300
9973,CANE,2012-04-16,22.40,22.51,22.51,22.40,3000
9974,CANE,2012-04-17,22.77,22.76,22.77,22.76,300
9975,CANE,2012-04-19,21.95,22.21,22.21,21.95,2630
9976,CANE,2012-04-23,21.73,21.73,21.73,21.73,1500
9977,CANE,2012-04-24,21.64,21.64,21.64,21.64,100
9978,CANE,2012-04-25,21.80,24.50,24.50,21.80,1201
9979,CANE,2012-04-27,21.33,21.33,21.33,21.33,2300
9980,CANE,2012-04-30,21.12,21.38,21.39,21.12,2070
9981,CANE,2012-05-01,20.98,20.98,20.98,20.98,2000
9982,CANE,2012-05-02,21.09,20.95,21.09,20.89,500
9983,CANE,2012-05-07,20.75,20.87,20.87,20.75,2450
9984,CANE,2012-05-08,20.57,20.73,20.73,20.09,2500
9985,CANE,2012-05-10,20.40,20.40,20.40,20.40,1600
9986,CANE,2012-05-15,20.65,20.65,20.65,20.65,400
