ID,commodity,Date,Close,Open,High,Low,Volume
8346,TAGS,2012-03-28,49.64,49.64,49.64,49.64,300
8347,TAGS,2012-03-29,49.00,49.00,49.00,49.00,100
8348,TAGS,2012-03-30,50.66,51.05,51.05,49.93,6350
8349,TAGS,2012-04-02,51.00,50.99,51.00,50.99,200
8350,TAGS,2012-04-03,50.66,50.66,50.66,50.66,100
8351,TAGS,2012-04-04,50.28,50.28,50.28,50.28,100
8352,TAGS,2012-04-05,50.50,50.64,50.64,50.50,200
8353,TAGS,2012-04-13,49.10,49.10,49.10,49.10,200
8354,TAGS,2012-04-16,48.42,48.41,48.42,48.41,270
8355,TAGS,2012-04-17,48.67,48.67,48.67,48.67,100
8356,TAGS,2012-04-20,48.00,48.00,48.00,48.00,100
8357,TAGS,2012-04-26,48.22,48.22,48.22,48.22,200
8358,TAGS,2012-04-27,48.59,48.59,48.59,48.59,200
8359,TAGS,2012-04-30,48.80,48.80,48.80,48.80,100
8360,TAGS,2012-05-01,48.40,48.40,48.40,48.40,200
8361,TAGS,2012-05-02,47.60,48.17,48.17,47.50,2000
8362,TAGS,2012-05-04,47.31,47.26,47.31,46.98,2700
8363,TAGS,2012-05-08,47.41,47.41,47.41,47.41,400
8364,TAGS,2012-05-10,46.31,46.33,46.33,46.31,680
8365,TAGS,2012-05-11,45.71,45.72,45.77,45.71,800
8366,TAGS,2012-05-16,46.33,46.33,46.33,46.33,136
8367,TAGS,2012-05-17,46.81,46.81,46.81,46.81,100
8368,TAGS,2012-05-18,47.50,47.50,47.50,47.50,100
8369,TAGS,2012-05-21,47.50,47.50,47.50,47.50,125
8370,TAGS,2012-05-22,46.73,46.73,46.73,46.73,100
8371,TAGS,2012-06-08,46.11,47.83,47.83,46.11,300
8372,TAGS,2012-06-11,46.38,46.38,46.38,46.38,100
8373,TAGS,2012-06-12,45.41,45.41,45.41,45.41,100
8374,TAGS,2012-06-13,45.25,45.11,45.63,45.11,53177
8375,TAGS,2012-06-19,46.90,46.90,46.90,46.90,100
8376,TAGS,2012-06-20,48.08,48.08,48.08,48.08,200
8377,TAGS,2012-06-21,48.61,48.61,48.61,48.61,200
8378,TAGS,2012-06-27,51.00,51.94,51.94,51.00,200
8379,TAGS,2012-06-28,48.01,51.47,53.00,48.01,1194
8380,TAGS,2012-07-02,51.00,54.12,54.12,51.00,400
8381,TAGS,2012-07-10,57.57,57.15,57.77,56.44,846
8382,TAGS,2012-07-11,59.20,59.29,59.33,58.00,1020
8383,TAGS,2012-07-13,59.00,67.53,67.53,58.99,1000
8384,TAGS,2012-07-17,61.14,61.09,61.14,61.09,600
8385,TAGS,2012-07-18,66.98,61.15,67.67,60.24,940
8386,TAGS,2012-07-19,59.70,67.98,73.18,55.84,2810
8387,TAGS,2012-07-20,59.17,59.17,59.17,59.17,100
8388,TAGS,2012-07-23,58.40,59.13,62.70,58.40,2100
8389,TAGS,2012-07-24,55.14,55.09,55.14,55.00,700
8390,TAGS,2012-07-25,55.39,58.00,58.00,55.39,1454
8391,TAGS,2012-07-26,54.03,55.49,57.12,54.03,4006
8392,TAGS,2012-07-27,55.01,55.01,55.01,55.01,500
8393,TAGS,2012-07-30,55.80,56.00,56.00,55.80,525
8394,TAGS,2012-07-31,55.54,55.54,55.54,55.54,100
8395,TAGS,2012-08-01,55.80,55.80,55.80,55.80,175
8396,TAGS,2012-08-02,54.60,55.00,55.00,54.60,323
8397,TAGS,2012-08-03,55.00,55.37,55.37,54.57,700
8398,TAGS,2012-08-06,54.87,55.00,55.00,54.52,816
8399,TAGS,2012-08-08,54.43,54.30,54.43,54.18,1000
8400,TAGS,2012-08-09,54.92,54.79,54.92,54.79,400
8401,TAGS,2012-08-10,55.12,55.12,55.12,55.12,100
8402,TAGS,2012-08-14,53.82,53.48,53.82,53.48,400
8403,TAGS,2012-08-15,54.88,53.83,54.88,53.83,500
8404,TAGS,2012-08-16,53.78,54.31,54.31,53.78,475
8405,TAGS,2012-08-17,54.40,54.40,54.40,54.40,100
8406,TAGS,2012-08-20,54.80,54.81,54.82,54.80,900
8407,TAGS,2012-08-21,55.07,55.13,55.38,55.07,2475
8408,TAGS,2012-08-22,55.08,55.08,55.08,55.08,100
8409,TAGS,2012-08-28,54.37,54.29,54.37,54.29,670
8410,TAGS,2012-08-29,54.92,54.92,54.92,54.92,500
8411,TAGS,2012-08-31,54.90,54.80,54.90,54.80,350
8412,TAGS,2012-09-05,54.32,54.55,54.55,54.32,300
