ID,commodity,Date,Close,Open,High,Low,Volume
2677,CORN,2010-06-09,25.15,25.12,25.25,25.12,1700
2678,CORN,2010-06-10,25.46,25.46,25.46,25.46,200
2679,CORN,2010-06-11,25.79,25.88,25.88,25.79,500
2680,CORN,2010-06-14,26.11,25.99,26.11,25.99,2247
2681,CORN,2010-06-15,25.97,26.24,26.24,25.97,6955
2682,CORN,2010-06-16,26.32,26.26,26.44,26.20,2399
2683,CORN,2010-06-17,26.08,26.20,26.20,25.82,1600
2684,CORN,2010-06-18,26.39,26.22,26.60,26.22,3125
2685,CORN,2010-06-21,25.98,26.35,26.35,25.70,9500
2686,CORN,2010-06-22,25.69,25.90,25.90,25.66,28700
2687,CORN,2010-06-23,25.54,25.54,25.54,25.54,5900
2688,CORN,2010-06-24,25.29,25.30,25.51,25.29,6050
2689,CORN,2010-06-25,24.89,25.35,25.35,24.89,9400
2690,CORN,2010-06-28,24.51,24.61,24.61,24.51,12100
2691,CORN,2010-06-29,23.98,24.58,24.58,23.98,8480
2692,CORN,2010-06-30,25.94,24.58,25.94,24.58,16490
2693,CORN,2010-07-01,26.51,25.77,26.57,25.77,31100
2694,CORN,2010-07-02,26.39,26.52,26.58,26.17,6400
2695,CORN,2010-07-06,26.14,26.27,26.53,25.45,9660
2696,CORN,2010-07-07,26.69,26.15,26.69,26.15,3300
2697,CORN,2010-07-08,27.20,26.77,27.20,26.66,142299
2698,CORN,2010-07-09,27.11,27.20,27.20,26.98,33058
2699,CORN,2010-07-12,26.79,27.04,27.27,26.76,20900
2700,CORN,2010-07-13,26.61,26.75,26.96,26.55,4500
2701,CORN,2010-07-14,27.15,26.80,27.18,26.80,10360
2702,CORN,2010-07-15,27.62,27.60,27.81,27.34,5856
2703,CORN,2010-07-16,27.69,27.64,28.12,27.32,81780
2704,CORN,2010-07-19,26.93,27.34,27.65,26.70,33500
2705,CORN,2010-07-20,26.67,26.55,26.80,26.54,17900
2706,CORN,2010-07-21,26.94,26.79,27.04,26.77,5100
2707,CORN,2010-07-22,26.77,27.14,27.36,26.77,27055
2708,CORN,2010-07-23,26.61,26.97,26.97,26.61,10284
2709,CORN,2010-07-26,26.25,26.50,26.50,25.98,94311
2710,CORN,2010-07-27,26.07,26.62,26.62,26.05,18510
2711,CORN,2010-07-28,26.91,26.42,26.98,26.30,10000
2712,CORN,2010-07-29,27.09,23.79,27.35,23.79,7150
2713,CORN,2010-07-30,27.69,27.46,27.74,27.30,118114
2714,CORN,2010-08-02,27.61,28.11,28.29,27.58,15449
2715,CORN,2010-08-03,27.54,27.52,27.65,27.32,3200
2716,CORN,2010-08-04,28.30,27.99,28.31,27.82,9060
2717,CORN,2010-08-05,28.18,29.48,29.48,28.18,15977
2718,CORN,2010-08-06,28.49,28.17,28.50,27.85,13978
2719,CORN,2010-08-09,28.46,28.58,28.85,28.35,11874
2720,CORN,2010-08-10,27.81,28.15,28.45,27.81,8456
2721,CORN,2010-08-11,27.90,27.81,28.10,27.62,30042
2722,CORN,2010-08-12,28.75,28.09,29.06,28.09,21982
2723,CORN,2010-08-13,28.88,28.86,28.90,28.72,13982
2724,CORN,2010-08-16,28.51,28.96,29.18,28.46,20154
2725,CORN,2010-08-17,29.02,28.56,29.03,28.56,7475
2726,CORN,2010-08-18,29.08,28.80,29.09,28.69,6200
2727,CORN,2010-08-19,28.70,29.14,29.23,28.54,12002
2728,CORN,2010-08-20,29.28,28.36,29.28,28.36,5025
2729,CORN,2010-08-23,29.02,29.33,29.33,29.01,5400
2730,CORN,2010-08-24,28.17,28.50,28.58,28.00,6423
2731,CORN,2010-08-25,28.29,28.21,28.33,28.11,4100
2732,CORN,2010-08-26,28.93,28.50,29.05,28.50,7612
2733,CORN,2010-08-27,29.14,29.30,29.38,29.14,7394
2734,CORN,2010-08-30,29.56,29.55,29.69,29.48,12540
2735,CORN,2010-08-31,29.47,29.49,29.69,29.40,16339
2736,CORN,2010-09-01,29.80,29.70,30.02,29.50,25726
2737,CORN,2010-09-02,29.81,29.74,29.89,29.63,8657
2738,CORN,2010-09-03,30.97,29.92,30.97,29.75,43707
2739,CORN,2010-09-07,30.58,30.50,30.66,30.12,35563
2740,CORN,2010-09-08,30.52,30.95,30.95,30.49,23511
2741,CORN,2010-09-09,31.02,30.30,31.02,30.30,17801
2742,CORN,2010-09-10,31.36,31.29,31.48,30.50,26090
2743,CORN,2010-09-13,31.57,31.67,31.67,31.42,36026
2744,CORN,2010-09-14,32.36,31.41,32.40,31.30,40956
