id,Source.Name,Date,Open,High,Low,Close
2601,ct00,2012-12-31,74.71,75.81,74.65,75.14
2602,ct00,2012-12-28,75.88,76.01,74.62,74.66
2603,ct00,2012-12-27,77.06,77.1,75.42,76.01
2604,ct00,2012-12-26,76.51,77.07,76.4,77.06
2605,ct00,2012-12-24,76.18,76.5,75.99,76.4
2606,ct00,2012-12-21,75.6,76.28,75.29,76.18
2607,ct00,2012-12-20,75.76,75.88,75.05,75.83
2608,ct00,2012-12-19,75.95,76.05,75.41,75.89
2609,ct00,2012-12-18,75.77,76.29,75.25,75.95
2610,ct00,2012-12-17,75.01,76.25,75.01,75.85
2611,ct00,2012-12-14,74.5,75.16,74.4,75.09
2612,ct00,2012-12-13,75,75.2,74.37,74.56
2613,ct00,2012-12-12,74.74,75.53,74.53,75.12
2614,ct00,2012-12-11,73.41,74.99,73.37,74.9
2615,ct00,2012-12-10,73.85,74.33,73.27,73.4
2616,ct00,2012-12-07,73.54,73.92,73.1,73.79
2617,ct00,2012-12-06,73.04,73.95,72.85,73.55
2618,ct00,2012-12-05,72.91,73.26,72.43,73.04
2619,ct00,2012-12-04,73.94,73.94,72.52,72.91
2620,ct00,2012-12-03,73.91,74.41,73.53,73.98
2621,ct00,2012-11-30,73.24,73.95,73.24,73.91
2622,ct00,2012-11-29,72.64,73.98,72.27,73.35
2623,ct00,2012-11-28,72.48,72.79,71.65,72.63
2624,ct00,2012-11-27,72.46,72.92,72.31,72.52
2625,ct00,2012-11-26,71.6,72.98,71.47,72.62
2626,ct00,2012-11-23,72.6,73.13,71.28,71.43
2627,ct00,2012-11-21,72.49,72.98,72.12,72.66
2628,ct00,2012-11-20,72.06,72.87,71.71,72.49
2629,ct00,2012-11-19,72.54,73.15,71.9,72.06
2630,ct00,2012-11-16,72.12,72.74,71.77,72.64
2631,ct00,2012-11-15,71.55,72.49,71.32,72.24
2632,ct00,2012-11-14,70.57,71.67,70.57,71.26
2633,ct00,2012-11-13,71.2,71.2,70.53,70.61
2634,ct00,2012-11-12,69.79,71.69,69.6,70.88
2635,ct00,2012-11-09,69.47,70.02,69.11,69.58
2636,ct00,2012-11-08,70,70.25,69.03,69.26
2637,ct00,2012-11-07,70.08,70.54,69.8,69.83
2638,ct00,2012-11-06,70.4,71.1,70.01,70.1
2639,ct00,2012-11-05,70.2,70.53,69.95,70.4
2640,ct00,2012-11-02,70.28,70.54,69.66,70.35
2641,ct00,2012-11-01,70.34,70.75,69.8,70.21
2642,ct00,2012-10-31,70.92,71.86,69.83,70.07
2643,ct00,2012-10-26,72.95,73.19,72.21,72.42
2644,ct00,2012-10-25,72.38,73.5,72.18,72.73
2645,ct00,2012-10-24,74.3,74.34,72.06,72.67
2646,ct00,2012-10-23,77,77,73.93,74.27
2647,ct00,2012-10-22,76.8,77.63,76.45,76.93
2648,ct00,2012-10-19,77.72,77.92,76.52,76.88
2649,ct00,2012-10-18,78.1,79.19,74.86,77.72
2650,ct00,2012-10-17,74.6,77.86,74.3,77.86
2651,ct00,2012-10-16,72.34,75.17,72,74.86
2652,ct00,2012-10-15,71.43,72.4,71.09,72.34
2653,ct00,2012-10-12,71.08,71.42,70.71,71.36
2654,ct00,2012-10-11,72,72,70.41,70.71
2655,ct00,2012-10-10,71.81,72.31,71.66,72.1
2656,ct00,2012-10-09,71.6,72.53,71.41,71.84
2657,ct00,2012-10-08,71.99,72.04,71.21,71.78
2658,ct00,2012-10-05,71.97,72,71.1,71.49
2659,ct00,2012-10-04,72,72.65,71.75,72.09
2660,ct00,2012-10-03,71.85,72.21,70.85,72.16
2661,ct00,2012-10-02,71.2,71.92,70.67,71.85
2662,ct00,2012-10-01,70.65,71.32,70.22,71.2
2663,ct00,2012-09-28,71.4,72.19,70.58,70.65
2664,ct00,2012-09-27,71.49,71.59,70.46,71.53
2665,ct00,2012-09-26,72.33,72.67,70.98,71.02
2666,ct00,2012-09-25,72.82,73.59,72.27,72.33
2667,ct00,2012-09-24,73.5,73.67,72.43,72.5
2668,ct00,2012-09-21,75.26,75.65,73.14,73.25
2669,ct00,2012-09-20,76.11,76.4,75.05,75.22
2670,ct00,2012-09-19,75.92,76.58,75.56,76.41
2671,ct00,2012-09-18,75.3,76.45,75.07,76.02
2672,ct00,2012-09-17,75.4,76.77,75.12,75.33
2673,ct00,2012-09-14,73.53,75.95,73.53,75.9
2674,ct00,2012-09-13,73.88,74.13,72.83,73.53
2675,ct00,2012-09-12,75.2,75.65,72.75,73.33
2676,ct00,2012-09-11,75.8,76.28,74.85,74.93
2677,ct00,2012-09-10,76.18,76.6,75.23,75.63
2678,ct00,2012-09-07,75.8,77,75.55,76.3
2679,ct00,2012-09-06,75.48,76.19,74.8,75.99
2680,ct00,2012-09-05,76,76,74.8,75.35
2681,ct00,2012-09-04,77.28,77.29,75.27,75.68
2682,ct00,2012-08-31,76.9,77.29,76.25,77.26
2683,ct00,2012-08-30,76.5,77.28,75.9,76.94
2684,ct00,2012-08-29,75.64,76.88,75.4,76.65
2685,ct00,2012-08-28,75.95,76.44,75.11,75.62
2686,ct00,2012-08-27,75.5,76.24,75.23,76.14
2687,ct00,2012-08-24,76.69,76.99,74.72,75.21
2688,ct00,2012-08-23,76.97,77.09,75.63,76.8
2689,ct00,2012-08-22,76.9,77.05,74.9,76.97
2690,ct00,2012-08-21,74.8,77.49,74.6,77.3
2691,ct00,2012-08-20,73.52,75.31,73.3,74.83
2692,ct00,2012-08-17,72.7,74.17,72.65,73.3
2693,ct00,2012-08-16,73.11,73.3,72.25,72.59
2694,ct00,2012-08-15,73.3,73.69,72.13,73.11
2695,ct00,2012-08-14,72.49,72.98,71.72,72.09
2696,ct00,2012-08-13,73.1,73.33,71.59,71.69
2697,ct00,2012-08-10,75.8,76.16,72.95,73.02
2698,ct00,2012-08-09,75.8,77.07,75.45,75.95
2699,ct00,2012-08-08,75.51,76.3,74.21,76
2700,ct00,2012-08-07,75.12,75.98,74.7,75.4
2701,ct00,2012-08-06,73.79,75.79,73.3,75.72
2702,ct00,2012-08-03,70.97,73.97,70.74,73.94
2703,ct00,2012-08-02,70.55,71.3,70.21,70.97
2704,ct00,2012-08-01,71.34,72,70.53,70.56
2705,ct00,2012-07-31,71.13,72.35,70.79,71.34
2706,ct00,2012-07-30,71.5,71.81,70.5,71.13
2707,ct00,2012-07-27,71.36,72.91,70.82,71.45
2708,ct00,2012-07-26,69.8,72.08,69.51,71.39
2709,ct00,2012-07-25,71.3,71.7,69.4,69.51
2710,ct00,2012-07-24,71.95,72.69,70.55,71.03
2711,ct00,2012-07-23,72.9,72.9,71.21,72.19
2712,ct00,2012-07-20,72.51,73.29,72.08,72.94
2713,ct00,2012-07-19,71.93,73.21,71.77,72.63
2714,ct00,2012-07-18,71.05,72.92,70.45,71.93
2715,ct00,2012-07-17,73.3,73.4,70.79,71.05
2716,ct00,2012-07-16,72.5,73.4,72.1,73.3
2717,ct00,2012-07-13,70.2,72.76,70.18,72.66
2718,ct00,2012-07-12,71.15,71.4,69.66,69.93
2719,ct00,2012-07-11,70.9,72.45,70.28,71.02
2720,ct00,2012-07-10,71,71.9,70.57,70.72
2721,ct00,2012-07-09,71.2,72.6,70.35,70.69
2722,ct00,2012-07-06,71,71.88,70.03,70.62
2723,ct00,2012-07-05,72.11,72.75,70.31,70.58
2724,ct00,2012-07-03,72.1,72.65,71,72.6
2725,ct00,2012-07-02,71.21,72.18,69.97,72.02
2726,ct00,2012-06-29,69.53,71.65,69.14,71.33
2727,ct00,2012-06-28,67.96,70.08,67.16,69.51
2728,ct00,2012-06-27,68.6,69.19,67.93,67.96
