id,Source.Name,Date,Open,High,Low,Close
5200,s00,2012-12-31,1415.75,1425.5,1400.75,1409.5
5201,s00,2012-12-28,1414.5,1427.25,1412.75,1418
5202,s00,2012-12-27,1417,1429.5,1411.25,1414
5203,s00,2012-12-26,1440.25,1443,1415,1418.5
5204,s00,2012-12-24,1430.75,1441.25,1425.5,1435.75
5205,s00,2012-12-21,1404.75,1434.75,1404.5,1429.25
5206,s00,2012-12-20,1438.25,1441.25,1402.75,1408.75
5207,s00,2012-12-19,1468,1472.25,1433,1437
5208,s00,2012-12-18,1496,1501.75,1462.5,1466
5209,s00,2012-12-17,1496,1508.75,1492.5,1496.25
5210,s00,2012-12-14,1475.5,1497,1474.25,1496
5211,s00,2012-12-13,1471.25,1490,1465,1476.5
5212,s00,2012-12-12,1473,1478.75,1457.25,1473.5
5213,s00,2012-12-11,1474.75,1487.75,1464.25,1472
5214,s00,2012-12-10,1470,1477,1453,1474.75
5215,s00,2012-12-07,1490.75,1498.25,1470,1472.25
5216,s00,2012-12-06,1477.75,1492.5,1473.25,1491.25
5217,s00,2012-12-05,1455,1479.75,1453.5,1479.25
5218,s00,2012-12-04,1453,1461,1436,1455.5
5219,s00,2012-12-03,1443.75,1462.75,1442,1453.75
5220,s00,2012-11-30,1448.5,1452,1429,1438.75
5221,s00,2012-11-29,1447,1460,1441.25,1448
5222,s00,2012-11-28,1450.25,1456.75,1440,1446.25
5223,s00,2012-11-27,1424.75,1451,1423,1449.25
5224,s00,2012-11-26,1419.75,1435.5,1416.75,1424.75
5225,s00,2012-11-23,1422,1427,1414.5,1418.75
5226,s00,2012-11-21,1412,1424,1399.25,1408.25
5227,s00,2012-11-20,1384.5,1414.5,1383.5,1412.75
5228,s00,2012-11-19,1386.75,1402.75,1385.5,1394.75
5229,s00,2012-11-16,1403.25,1409.25,1372.25,1383.25
5230,s00,2012-11-15,1420,1427.75,1401,1402
5231,s00,2012-11-14,1407.5,1428.5,1407.25,1419
5232,s00,2012-11-13,1407,1417.75,1391.25,1408
5233,s00,2012-11-12,1448.25,1448.75,1402,1405
5234,s00,2012-11-09,1494.5,1499,1450,1451.25
5235,s00,2012-11-08,1507,1513.5,1495,1495.75
5236,s00,2012-11-07,1516,1521.75,1497.25,1507
5237,s00,2012-11-06,1503,1523,1502.5,1515.5
5238,s00,2012-11-05,1520.75,1524.25,1502,1503.25
5239,s00,2012-11-02,1558.5,1560,1524.25,1526.75
5240,s00,2012-11-01,1549,1571.5,1548,1560
5241,s00,2012-10-31,1535,1558.75,1535,1548.75
5242,s00,2012-10-26,1562.5,1566.75,1552.5,1561.25
5243,s00,2012-10-25,1570,1574.5,1557.25,1564
5244,s00,2012-10-24,1554.75,1574.75,1549.25,1570.5
5245,s00,2012-10-23,1546.5,1555,1529,1553.25
5246,s00,2012-10-22,1530.75,1558.5,1526.5,1546.5
5247,s00,2012-10-19,1544.75,1555.75,1532.25,1534.25
5248,s00,2012-10-18,1509,1547.75,1507.5,1545.5
5249,s00,2012-10-17,1493.75,1511.25,1487.25,1509.25
5250,s00,2012-10-16,1494,1514.75,1493,1493.75
5251,s00,2012-10-15,1519,1520,1485.75,1492.5
5252,s00,2012-10-12,1548,1553.5,1510,1522.5
5253,s00,2012-10-11,1523,1568,1521.25,1548.5
5254,s00,2012-10-10,1547.75,1550,1518,1523.25
5255,s00,2012-10-09,1550.5,1574,1547,1550
5256,s00,2012-10-08,1553.5,1561,1537.5,1551
5257,s00,2012-10-05,1552,1569.5,1544.5,1551.5
5258,s00,2012-10-04,1532,1568.75,1531,1551.5
5259,s00,2012-10-03,1531.5,1543.75,1504,1531.75
5260,s00,2012-10-02,1559.75,1561.25,1526.5,1530.5
5261,s00,2012-10-01,1596.5,1600,1558,1560.25
5262,s00,2012-09-28,1570,1613.75,1559.5,1601
5263,s00,2012-09-27,1573.5,1584,1557.5,1570.75
5264,s00,2012-09-26,1611,1613.25,1565,1573
5265,s00,2012-09-25,1608.25,1625.5,1604.25,1611.5
5266,s00,2012-09-24,1621.75,1626,1590.25,1610
5267,s00,2012-09-21,1620.25,1639,1607.5,1621.75
5268,s00,2012-09-20,1668,1686,1616,1618.75
5269,s00,2012-09-19,1643,1675.75,1643,1669.5
5270,s00,2012-09-18,1660,1669,1630.5,1640
5271,s00,2012-09-17,1733.25,1736.25,1669,1669
5272,s00,2012-09-14,1746.5,1765.75,1737.5,1739
5273,s00,2012-09-13,1746,1750,1732.75,1747.25
5274,s00,2012-09-12,1700.25,1750,1693.5,1745.75
5275,s00,2012-09-11,1718,1729,1698.75,1701.5
5276,s00,2012-09-10,1728,1744.25,1716,1718.75
5277,s00,2012-09-07,1746,1752,1726.25,1736.5
5278,s00,2012-09-06,1748,1753.75,1725.5,1747
5279,s00,2012-09-05,1766.75,1769.75,1742.5,1747.5
5280,s00,2012-09-04,1771.5,1789,1755.5,1768.25
5281,s00,2012-08-31,1761,1763.25,1745.5,1756.5
5282,s00,2012-08-30,1753,1771.25,1735.25,1763.5
5283,s00,2012-08-29,1724,1754,1716.5,1753
5284,s00,2012-08-28,1723.25,1731,1701,1722.25
5285,s00,2012-08-27,1740.75,1760.5,1714,1718.75
5286,s00,2012-08-24,1715.5,1737.25,1710.75,1731.5
5287,s00,2012-08-23,1729.25,1744.75,1704.25,1715
5288,s00,2012-08-22,1730.25,1734.25,1715.5,1727.75
5289,s00,2012-08-21,1685,1734,1681,1732.5
5290,s00,2012-08-20,1646,1685,1641,1683.5
5291,s00,2012-08-17,1624.25,1647.5,1620.5,1645.75
5292,s00,2012-08-16,1635,1643.25,1619.5,1625.25
5293,s00,2012-08-15,1598,1636,1597.25,1634.5
5294,s00,2012-08-14,1597.25,1613,1587,1598
5295,s00,2012-08-13,1633,1652,1598.25,1600.75
5296,s00,2012-08-10,1628.5,1668,1621,1643.75
5297,s00,2012-08-09,1580,1633,1576.5,1631.25
5298,s00,2012-08-08,1565.5,1583,1555.25,1581.25
5299,s00,2012-08-07,1584,1605.5,1562,1565.75
5300,s00,2012-08-06,1601,1601.75,1575.75,1584.25
5301,s00,2012-08-03,1617.25,1638.5,1602.25,1628.75
5302,s00,2012-08-02,1636.75,1645.75,1595,1616.5
5303,s00,2012-08-01,1641.25,1660,1595.75,1629
5304,s00,2012-07-31,1630,1663.25,1629.75,1641
5305,s00,2012-07-30,1620.25,1648,1617.5,1643.5
5306,s00,2012-07-27,1565.5,1612,1550.75,1601.75
5307,s00,2012-07-26,1610.25,1615,1561.5,1567.5
5308,s00,2012-07-25,1569.25,1624,1536,1615.5
5309,s00,2012-07-24,1624.25,1628,1552.25,1569.5
5310,s00,2012-07-23,1690.75,1691.5,1616.25,1622.25
5311,s00,2012-07-20,1652,1691,1645,1686.25
5312,s00,2012-07-19,1620.5,1673.75,1613.5,1652.25
5313,s00,2012-07-18,1591,1622,1576,1620
5314,s00,2012-07-17,1601,1607,1575.25,1590.5
5315,s00,2012-07-16,1569.5,1598.5,1568,1590.5
5316,s00,2012-07-13,1528,1561.5,1526.5,1552.5
5317,s00,2012-07-12,1527.75,1542.5,1510.5,1529
5318,s00,2012-07-11,1540.25,1575,1505.25,1522.5
5319,s00,2012-07-10,1546,1555.5,1531,1538.5
5320,s00,2012-07-09,1532,1571.25,1522.5,1547.75
5321,s00,2012-07-06,1526,1526,1504.5,1505.75
5322,s00,2012-07-05,1495,1529,1493,1526.5
5323,s00,2012-07-03,1454.75,1478,1441.25,1474.75
5324,s00,2012-07-02,1445.25,1455.75,1430.5,1438
5325,s00,2012-06-29,1404,1436,1400,1427.75
5326,s00,2012-06-28,1415.5,1422.5,1392.75,1403.5
5327,s00,2012-06-27,1415.5,1439.75,1408.75,1412
5328,s00,2012-06-26,1433.5,1438.75,1406.25,1413.25
5329,s00,2012-06-25,1399,1437,1398.5,1425.5
5330,s00,2012-06-22,1368,1390.5,1364.5,1375.5
5331,s00,2012-06-21,1393,1394.25,1371,1371.25
5332,s00,2012-06-20,1383,1395.75,1370.5,1395.5
5333,s00,2012-06-19,1390,1451.5,1389,1433.75
5334,s00,2012-06-18,1383,1396.25,1375.25,1384.25
5335,s00,2012-06-15,1389.75,1401.5,1370.5,1376
5336,s00,2012-06-14,1408.25,1415.75,1384,1386
5337,s00,2012-06-13,1433.5,1437.5,1404.75,1408.25
5338,s00,2012-06-12,1425.5,1449.25,1416.25,1435
5339,s00,2012-06-11,1426,1445.5,1418,1424.75
5340,s00,2012-06-08,1425.25,1439,1408.25,1426.25
5341,s00,2012-06-07,1386,1430,1383.25,1428
5342,s00,2012-06-06,1353.5,1392,1352.75,1386.25
5343,s00,2012-06-05,1340.5,1360.25,1340.5,1349.5
5344,s00,2012-06-04,1350,1355.75,1331.5,1340
5345,s00,2012-06-01,1340.75,1358,1317.5,1344.25
5346,s00,2012-05-31,1377.25,1377.5,1339.5,1340
5347,s00,2012-05-30,1388,1394.5,1364.25,1373.25
5348,s00,2012-05-29,1383,1402,1379.25,1386.75
5349,s00,2012-05-25,1380,1386.5,1371.5,1382
5350,s00,2012-05-24,1367.5,1387.75,1367.5,1376
5351,s00,2012-05-23,1382.5,1382.75,1351,1362.5
5352,s00,2012-05-22,1410.75,1417.75,1375,1382.25
5353,s00,2012-05-21,1413.75,1423,1408.5,1412.5
5354,s00,2012-05-18,1435,1438.75,1405,1405
5355,s00,2012-05-17,1423.75,1450,1420.25,1438
5356,s00,2012-05-16,1413.5,1423,1386.25,1422
5357,s00,2012-05-15,1385.5,1415.75,1380,1413
5358,s00,2012-05-14,1406,1406.75,1376,1387
5359,s00,2012-05-11,1457,1461.75,1402.5,1406
5360,s00,2012-05-10,1430,1458.75,1429.5,1455.25
5361,s00,2012-05-09,1438.25,1441.75,1413.25,1430.25
5362,s00,2012-05-08,1467.25,1471.25,1434.25,1438.25
5363,s00,2012-05-07,1470.25,1478.75,1460.25,1465.75
5364,s00,2012-05-04,1472,1481.25,1458,1478.25
5365,s00,2012-05-03,1482.5,1488.75,1465.5,1473.5
5366,s00,2012-05-02,1501,1512.5,1481,1485
5367,s00,2012-05-01,1504,1504.75,1492,1503.5
5368,s00,2012-04-30,1490.25,1507,1450.5,1505.5
5369,s00,2012-04-27,1482.75,1506.75,1481.5,1493.5
5370,s00,2012-04-26,1474.75,1483,1463.5,1480.25
5371,s00,2012-04-25,1465,1496.75,1465,1476
5372,s00,2012-04-24,1440.5,1471.25,1437.75,1465
5373,s00,2012-04-23,1450.25,1457.25,1439,1441
5374,s00,2012-04-20,1420.5,1458.75,1418,1449.5
5375,s00,2012-04-19,1414.75,1435.75,1412.25,1421
5376,s00,2012-04-18,1430.5,1440,1409.5,1413.5
5377,s00,2012-04-17,1420.25,1434.5,1418.25,1425.75
5378,s00,2012-04-16,1434.5,1435.75,1415.5,1420
5379,s00,2012-04-13,1442.5,1447.75,1431.25,1436.75
5380,s00,2012-04-12,1423.25,1444.5,1420,1441
5381,s00,2012-04-11,1428,1431.25,1415,1422
5382,s00,2012-04-10,1431,1452.25,1421.75,1426
5383,s00,2012-04-09,1431,1446.75,1423.5,1431
5384,s00,2012-04-05,1420,1434.25,1414.75,1434
5385,s00,2012-04-04,1414.5,1429.75,1408.25,1419.5
5386,s00,2012-04-03,1421,1434.25,1413,1416.75
5387,s00,2012-04-02,1407,1433.75,1406.5,1421
5388,s00,2012-03-30,1355.5,1416,1353.5,1403
5389,s00,2012-03-29,1369,1376.5,1351,1355.5
5390,s00,2012-03-28,1370.75,1379,1364,1367.5
5391,s00,2012-03-27,1379.75,1387.25,1368.75,1369.75
5392,s00,2012-03-26,1365.75,1388.5,1364,1379.5
5393,s00,2012-03-23,1350.25,1369.5,1349.5,1365.75
5394,s00,2012-03-22,1355,1360,1338.5,1349.5
5395,s00,2012-03-21,1345,1358,1344.75,1355
5396,s00,2012-03-20,1367,1368,1341.75,1345
5397,s00,2012-03-19,1374.25,1378,1362.5,1366.5
5398,s00,2012-03-16,1368.5,1377.5,1363.5,1374
5399,s00,2012-03-15,1352.25,1370,1352,1369
5400,s00,2012-03-14,1349,1360.75,1346.5,1350.25
5401,s00,2012-03-13,1333,1354.75,1331.25,1348.75
5402,s00,2012-03-12,1338,1341.75,1332,1334.5
5403,s00,2012-03-09,1337,1355.5,1330.25,1337.75
5404,s00,2012-03-08,1327,1339,1324,1338.5
5405,s00,2012-03-07,1334,1339,1324,1326.75
5406,s00,2012-03-06,1324,1336.25,1315.25,1335.25
5407,s00,2012-03-05,1330,1336.5,1323,1325
5408,s00,2012-03-02,1321.5,1333,1316.25,1333
5409,s00,2012-03-01,1315.5,1323.75,1306.25,1322.5
5410,s00,2012-02-29,1311,1324.25,1308,1320
5411,s00,2012-02-28,1300,1314.75,1300,1312.5
5412,s00,2012-02-27,1278,1295,1276.5,1293.75
5413,s00,2012-02-24,1276.5,1284.75,1272,1279
5414,s00,2012-02-23,1271,1280,1266.5,1276.75
5415,s00,2012-02-22,1267.75,1272.5,1261.5,1272.25
5416,s00,2012-02-21,1271,1276,1260,1271
5417,s00,2012-02-17,1258,1273.25,1256.25,1267.5
5418,s00,2012-02-16,1260.5,1264.5,1246.25,1258.25
5419,s00,2012-02-15,1254.75,1269,1249,1261
5420,s00,2012-02-14,1252,1261.75,1245.5,1255
5421,s00,2012-02-13,1238,1254.5,1232,1252
5422,s00,2012-02-10,1229.25,1231,1215,1229
5423,s00,2012-02-09,1229.5,1247.5,1222.75,1227.5
5424,s00,2012-02-08,1230.25,1244.75,1222.75,1231.5
5425,s00,2012-02-07,1232,1239.5,1227,1232
5426,s00,2012-02-06,1230.75,1244,1230.75,1233
5427,s00,2012-02-03,1217,1236.5,1214,1232.5
5428,s00,2012-02-02,1213.5,1225,1206.25,1217
5429,s00,2012-02-01,1202,1219,1202,1215.25
5430,s00,2012-01-31,1186.75,1204,1184.25,1199
5431,s00,2012-01-30,1214.25,1218.5,1184.5,1185.25
5432,s00,2012-01-27,1221.75,1225.75,1215,1219
5433,s00,2012-01-26,1213.5,1231,1213.25,1222.75
5434,s00,2012-01-25,1218.75,1226.25,1208.5,1213.5
5435,s00,2012-01-24,1213.75,1229.5,1203.75,1220
5436,s00,2012-01-23,1194,1219,1192,1217.5
5437,s00,2012-01-20,1197.5,1204,1183,1187
5438,s00,2012-01-19,1184,1198,1181.5,1197
5439,s00,2012-01-18,1182.5,1187.25,1172.25,1183.5
5440,s00,2012-01-17,1163,1187,1162.75,1183.5
5441,s00,2012-01-13,1182,1194.5,1157.5,1158.25
5442,s00,2012-01-12,1202.5,1213.5,1150,1182.5
5443,s00,2012-01-11,1228,1232,1200.5,1203
5444,s00,2012-01-10,1230.75,1237,1220.5,1232
5445,s00,2012-01-09,1195,1235,1194.5,1233
5446,s00,2012-01-06,1207.25,1219.75,1193.5,1196.5
5447,s00,2012-01-05,1230,1233.75,1206,1209
5448,s00,2012-01-04,1227.5,1235.75,1220.5,1230
5449,s00,2012-01-03,1233,1244.75,1223.25,1227.5
5450,s00,2013-12-31,1307.5,1311,1289,1292.5
5451,s00,2013-12-30,1306.5,1316,1299.5,1308.75
5452,s00,2013-12-27,1305.25,1314.5,1304,1313.75
5453,s00,2013-12-26,1319,1319,1302.25,1305.25
5454,s00,2013-12-24,1319.75,1327.25,1315.25,1322.75
5455,s00,2013-12-23,1343.5,1347,1327,1328.5
5456,s00,2013-12-20,1325.75,1345,1321.5,1339
5457,s00,2013-12-19,1325,1329.75,1315.75,1327
5458,s00,2013-12-18,1344,1351,1323.25,1324
5459,s00,2013-12-17,1336,1350,1328.5,1346.5
5460,s00,2013-12-16,1328,1343.5,1319,1337.75
5461,s00,2013-12-13,1323,1328,1312.25,1327.5
5462,s00,2013-12-12,1343,1347,1318.5,1323.75
5463,s00,2013-12-11,1339.25,1345.5,1334.5,1344
5464,s00,2013-12-10,1342.75,1353.5,1330.5,1338.25
5465,s00,2013-12-09,1324.75,1346.75,1324.5,1343.75
5466,s00,2013-12-06,1328,1328,1316.5,1325.5
5467,s00,2013-12-05,1328,1333,1316,1328
5468,s00,2013-12-04,1320,1334.75,1311.5,1329.5
5469,s00,2013-12-03,1320.75,1329,1311.25,1319.75
5470,s00,2013-12-02,1335.75,1346,1319.25,1321.25
5471,s00,2013-11-29,1328.5,1339.5,1327,1336.5
5472,s00,2013-11-27,1327.5,1341,1317,1320
5473,s00,2013-11-26,1327,1330.75,1316.75,1329.25
5474,s00,2013-11-25,1318.5,1334.5,1309.25,1329.25
5475,s00,2013-11-22,1290.75,1322,1290.5,1319.5
5476,s00,2013-11-21,1275.25,1292.5,1275.25,1291.5
5477,s00,2013-11-20,1277,1283.75,1270.25,1273.75
5478,s00,2013-11-19,1285.5,1294,1268.25,1276.25
5479,s00,2013-11-18,1280,1290,1276.5,1287.5
5480,s00,2013-11-15,1312.75,1315.75,1278,1280.5
5481,s00,2013-11-14,1314,1321.5,1305,1313.5
5482,s00,2013-11-13,1313.25,1317.75,1307.5,1315
5483,s00,2013-11-12,1299.5,1319.75,1295.5,1314.5
5484,s00,2013-11-11,1295,1304.75,1288.25,1301
5485,s00,2013-11-08,1264.5,1297.5,1261.75,1296
5486,s00,2013-11-07,1254.5,1274.75,1251.25,1266.5
5487,s00,2013-11-06,1249.5,1261,1249.25,1255
5488,s00,2013-11-05,1256,1262,1247,1250.25
5489,s00,2013-11-04,1252,1263,1250.25,1256.5
5490,s00,2013-11-01,1266,1271.25,1250.25,1251.5
5491,s00,2013-10-31,1274.25,1287.5,1265,1266.25
5492,s00,2013-10-30,1270.5,1280.5,1270.5,1276.5
5493,s00,2013-10-29,1266.5,1274.25,1264.5,1270.75
5494,s00,2013-10-28,1300,1301.25,1270.25,1271.25
5495,s00,2013-10-25,1309,1312.75,1299.25,1300
5496,s00,2013-10-24,1309,1318,1305.5,1309.75
5497,s00,2013-10-23,1299,1318.75,1296.75,1310
5498,s00,2013-10-22,1300.75,1305.5,1292,1302.25
5499,s00,2013-10-21,1289,1304,1288.5,1303.25
5500,s00,2013-10-18,1291.25,1301.5,1287.5,1291.25
5501,s00,2013-10-17,1276.25,1296,1274.75,1293.25
5502,s00,2013-10-16,1267,1279.5,1266,1276.5
5503,s00,2013-10-15,1271,1276.75,1264.25,1267
5504,s00,2013-10-14,1263.75,1280,1261.75,1273
5505,s00,2013-10-11,1286,1288,1266,1266.75
5506,s00,2013-10-10,1286.5,1302,1285.5,1288
5507,s00,2013-10-09,1287.5,1293,1281.25,1287.75
5508,s00,2013-10-08,1296.25,1305.75,1283.75,1288.75
5509,s00,2013-10-07,1292.25,1305,1288.5,1296.5
