id,Source.Name,Date,Open,High,Low,Close
7799,w00,2012-12-31,778.75,780,767.75,778
7800,w00,2012-12-28,772.75,784.5,766.5,778.75
7801,w00,2012-12-27,775.25,778,764.5,772.25
7802,w00,2012-12-26,794,795.25,773.75,774.5
7803,w00,2012-12-24,793.5,796.25,791.25,793.75
7804,w00,2012-12-21,790.5,798.75,789.75,792
7805,w00,2012-12-20,806.25,808.5,782.5,790.5
7806,w00,2012-12-19,813,822.75,802,805.75
7807,w00,2012-12-18,808,814.25,801.5,811.25
7808,w00,2012-12-17,816,819,805,808
7809,w00,2012-12-14,808.25,817.5,806.25,814
7810,w00,2012-12-13,810.5,817.75,801.5,808.5
7811,w00,2012-12-12,823,825.5,809,812
7812,w00,2012-12-11,849,849,816,821.5
7813,w00,2012-12-10,862,862.5,846.75,848.75
7814,w00,2012-12-07,862.25,864.75,852.75,861
7815,w00,2012-12-06,861,864.25,853,862
7816,w00,2012-12-05,856.5,863.5,852.5,860
7817,w00,2012-12-04,861.5,865,851.5,856.5
7818,w00,2012-12-03,869,877.25,858.25,860.75
7819,w00,2012-11-30,886,887,862.5,863.5
7820,w00,2012-11-29,890.5,895,880.75,885.5
7821,w00,2012-11-28,887,895.5,879.75,891.25
7822,w00,2012-11-27,864.5,889,863.75,888.5
7823,w00,2012-11-26,849.25,854.25,844.5,849
7824,w00,2012-11-23,849.75,853.75,845.25,847.75
7825,w00,2012-11-21,844.75,849.5,841,845.25
7826,w00,2012-11-20,846,849.75,845,845
7827,w00,2012-11-19,835.5,848,835.5,841.75
7828,w00,2012-11-16,844.5,850,829.5,838
7829,w00,2012-11-15,849,856.5,843.25,845.5
7830,w00,2012-11-14,852.25,858,845.25,848.75
7831,w00,2012-11-13,857.75,864.5,843.25,851
7832,w00,2012-11-12,886,886.5,855,857.75
7833,w00,2012-11-09,898.75,916.5,884,886.5
7834,w00,2012-11-08,894,905,886.5,902.5
7835,w00,2012-11-07,876.5,897,870.75,894
7836,w00,2012-11-06,867,879.75,867,877
7837,w00,2012-11-05,864.5,875.75,863,866
7838,w00,2012-11-02,867.25,873.75,858.75,864.5
7839,w00,2012-11-01,865.75,877.5,863.5,868.5
7840,w00,2012-10-31,858.75,875,858.25,864.5
7841,w00,2012-10-26,874.75,878.75,863.25,863.75
7842,w00,2012-10-25,882.5,889,871,872.75
7843,w00,2012-10-24,868.25,895,865,884
7844,w00,2012-10-23,878,878.5,860,868.75
7845,w00,2012-10-22,873,884.5,871.5,878.25
7846,w00,2012-10-19,868,885.5,866,872.5
7847,w00,2012-10-18,856.5,876,855.5,868.5
7848,w00,2012-10-17,847.75,858,845.5,856.25
7849,w00,2012-10-16,848.5,857.75,843.75,847.75
7850,w00,2012-10-15,860,860.25,840.25,848.25
7851,w00,2012-10-12,886.25,886.5,853.25,856.75
7852,w00,2012-10-11,870,894,859,886
7853,w00,2012-10-10,864.5,876.75,863.5,869.75
7854,w00,2012-10-09,859.75,873.75,859.75,864.25
7855,w00,2012-10-08,857.5,867.5,855,861
7856,w00,2012-10-05,870,872.75,856.25,857.5
7857,w00,2012-10-04,873,882.75,866.75,869.25
7858,w00,2012-10-03,873,878.5,858,873
7859,w00,2012-10-02,884,885,863.75,871.5
7860,w00,2012-10-01,902,904.25,872.25,884.25
7861,w00,2012-09-28,855.5,907,850.75,902.5
7862,w00,2012-09-27,871,876,849.25,855.5
7863,w00,2012-09-26,888,889,866.25,869.25
7864,w00,2012-09-25,891,898,880.75,886.5
7865,w00,2012-09-24,897.5,907.25,883.25,892
7866,w00,2012-09-21,881.75,899.25,879.5,897.25
7867,w00,2012-09-20,882,893.75,869,879.5
7868,w00,2012-09-19,865,883,865,881.5
7869,w00,2012-09-18,880,888,860.75,863.5
7870,w00,2012-09-17,921.5,926.5,876.25,878
7871,w00,2012-09-14,901.25,931,898.75,924.25
7872,w00,2012-09-13,888.5,905,885.75,902
7873,w00,2012-09-12,885,893.5,868.75,890
7874,w00,2012-09-11,891.25,898.25,882.25,883.75
7875,w00,2012-09-10,903,917.5,887,889.75
7876,w00,2012-09-07,891,912.5,884.75,905
7877,w00,2012-09-06,868.5,894.5,867.5,891.75
7878,w00,2012-09-05,888.25,888.5,865.25,867.75
7879,w00,2012-09-04,892,904,881,888.75
7880,w00,2012-08-31,903,906,881,889.5
7881,w00,2012-08-30,904.75,914.5,897.25,903
7882,w00,2012-08-29,876.5,908.25,874,905.75
7883,w00,2012-08-28,881.25,889.5,871.25,875.5
7884,w00,2012-08-27,890.5,899.25,881,881.25
7885,w00,2012-08-24,893.75,906.5,887.25,888.5
7886,w00,2012-08-23,916.75,924,893,894.75
7887,w00,2012-08-22,921,921.25,911.25,917
7888,w00,2012-08-21,902.5,926.25,900.75,922
7889,w00,2012-08-20,893.75,906,887.5,902.75
7890,w00,2012-08-17,881.5,899,881,894.5
7891,w00,2012-08-16,867.75,888.75,860.75,881.75
7892,w00,2012-08-15,859,870,858.5,866.25
7893,w00,2012-08-14,857,866,838.25,839.75
7894,w00,2012-08-13,882.5,885.25,854.75,856.75
7895,w00,2012-08-10,912.75,931.75,880,885.25
7896,w00,2012-08-09,899,919.5,898,913
7897,w00,2012-08-08,889.75,902.75,869.25,899.25
7898,w00,2012-08-07,892,904.5,883.5,889
